"","uniqueLoc","lon","lat","type","loctype","address","north","south","east","west","locality","administrative_area_level_1","country","street_number","route"
"676","Anne Arundel, Maryland",-76.615395,39.232689,"street_address","rooftop","Anne Arundel, Maryland",39.233689,39.231689,-76.614395,-76.616395,"Brooklyn","MD","United States","201","W Arundel Rd"
"677","Baltimore, Maryland",-76.906918,38.888446,"locality","rooftop","Baltimore, Maryland",38.889446,38.887446,-76.905918,-76.907918,"Capitol Heights","MD","United States",NA,NA
"678","Calvert, Maryland",-76.035968,39.694668,"locality","rooftop","Calvert, Maryland",39.695668,39.693668,-76.034968,-76.036968,"Rising Sun","MD","United States",NA,NA
"679","Caroline, Maryland",-79.468159,39.389071,"street_address","rooftop","Caroline, Maryland",39.390071,39.388071,-79.467159,-79.469159,"Oakland","MD","United States","2","Crellin St"
"680","Cecil, Maryland",-76.472999,38.304666,"street_address","rooftop","Cecil, Maryland",38.305666,38.303666,-76.471999,-76.473999,"Lexington Park","MD","United States","101","Cecil Rd"
"681","Charles, Maryland",-76.993392,39.566651,"street_address","rooftop","Charles, Maryland",39.567651,39.565651,-76.992392,-76.994392,"Westminster","MD","United States","63","Charles St"
"682","Dorchester, Maryland",-76.76329,38.857534,"street_address","rooftop","Dorchester, Maryland",38.858534,38.856534,-76.76229,-76.76429,"Upper Marlboro","MD","United States","2401","Dorchester Rd"
"683","Frederick, Maryland",-76.81775,39.092053,"locality","rooftop","Frederick, Maryland",39.093053,39.091053,-76.81675,-76.81875,"Laurel","MD","United States",NA,NA
"684","Garrett, Maryland",-76.93609,39.713859,"street_address","rooftop","Garrett, Maryland",39.714859,39.712859,-76.93509,-76.93709,"Manchester","MD","United States","1722","Garrett Rd"
"685","Howard, Maryland",-76.723216,39.114834,"street_address","rooftop","Howard, Maryland",39.115834,39.113834,-76.722216,-76.724216,"Fort George G. Meade","MD","United States","1901","Howard Ct"
"686","Montgomery, Maryland",-77.167142,38.46148,"street_address","rooftop","Montgomery, Maryland",38.46248,38.46048,-77.166142,-77.168142,"Nanjemoy","MD","United States","9201","Montgomerys Post Pl"
"687","Prince George's, Maryland",-76.845216,39.103015,"street_address","rooftop","Prince George's, Maryland",39.104015,39.102015,-76.844216,-76.846216,"Laurel","MD","United States","301","Prince George St"
"688","St. Mary's, Maryland",-76.355655,39.371308,"street_address","rooftop","St. Mary's, Maryland",39.372308,39.370308,-76.354655,-76.356655,"Middle River","MD","United States","2","Mira Ct"
"689","Washington, Maryland",-76.794839,39.123148,"street_address","rooftop","Washington, Maryland",39.124148,39.122148,-76.793839,-76.795839,"Laurel","MD","United States","8200","Washington St S"
"690","Wicomico, Maryland",-76.876637,38.413458,"locality","rooftop","Wicomico, Maryland",38.414458,38.412458,-76.875637,-76.877637,"Charlotte Hall","MD","United States",NA,NA
"691","Worcester, Maryland",-76.974454,38.526717,"street_address","rooftop","Worcester, Maryland",38.527717,38.525717,-76.973454,-76.975454,"La Plata","MD","United States","601","Worcester St"
"692","Carroll, Maryland",-76.671914,39.28094,"locality","rooftop","Carroll, Maryland",39.28194,39.27994,-76.670914,-76.672914,"Baltimore","MD","United States",NA,NA
"693","Harford, Maryland",-76.551893,39.363405,"street_address","rooftop","Harford, Maryland",39.364405,39.362405,-76.550893,-76.552893,"Parkville","MD","United States","6701","Harford Rd"
"694","Talbot, Maryland",-76.893131,38.594732,"street_address","rooftop","Talbot, Maryland",38.595732,38.593732,-76.892131,-76.894131,"Waldorf","MD","United States","2600","Talbot Ct"
"695","Baltimore city, Maryland",-76.792146,39.124117,"street_address","rooftop","Baltimore city, Maryland",39.125117,39.123117,-76.791146,-76.793146,"Laurel","MD","United States","8201","Baltimore St"
"696","Androscoggin, Maine",-68.545745,44.457554,"street_address","rooftop","Androscoggin, Maine",44.458554,44.456554,-68.544745,-68.546745,"Blue Hill","ME","United States","2","Anderson Ln"
"697","Aroostook, Maine",-67.859167,44.507856,"locality","rooftop","Aroostook, Maine",44.508856,44.506856,-67.858167,-67.860167,"Milbridge","ME","United States",NA,NA
"698","Cumberland, Maine",-70.347608,43.681478,"street_address","rooftop","Cumberland, Maine",43.682478,43.680478,-70.346608,-70.348608,"Westbrook","ME","United States","2","Cumberland St"
"699","Franklin, Maine",-68.233576,44.595131,"locality","rooftop","Franklin, Maine",44.596131,44.594131,-68.232576,-68.234576,"Franklin","ME","United States",NA,NA
"700","Kennebec, Maine",-67.46388,44.668411,"locality","rooftop","Kennebec, Maine",44.669411,44.667411,-67.46288,-67.46488,"Machias","ME","United States",NA,NA
"701","Lincoln, Maine",-67.859167,44.507856,"locality","rooftop","Lincoln, Maine",44.508856,44.506856,-67.858167,-67.860167,"Milbridge","ME","United States",NA,NA
"702","Penobscot, Maine",-67.859167,44.507856,"locality","rooftop","Penobscot, Maine",44.508856,44.506856,-67.858167,-67.860167,"Milbridge","ME","United States",NA,NA
"703","Piscataquis, Maine",-67.859167,44.507856,"locality","rooftop","Piscataquis, Maine",44.508856,44.506856,-67.858167,-67.860167,"Milbridge","ME","United States",NA,NA
"704","Somerset, Maine",-67.859167,44.507856,"locality","rooftop","Somerset, Maine",44.508856,44.506856,-67.858167,-67.860167,"Milbridge","ME","United States",NA,NA
"705","Waldo, Maine",-69.076148,44.512574,"locality","rooftop","Waldo, Maine",44.513574,44.511574,-69.075148,-69.077148,"Belfast","ME","United States",NA,NA
"706","Washington, Maine",-69.36727,44.27369,"locality","rooftop","Washington, Maine",44.27469,44.27269,-69.36627,-69.36827,"Washington","ME","United States",NA,NA
"707","York, Maine",-70.679004,43.166461,"locality","rooftop","York, Maine",43.167461,43.165461,-70.678004,-70.680004,"York","ME","United States",NA,NA
"708","Alcona, Michigan",-85.837096,42.516441,"street_address","rooftop","Alcona, Michigan",42.517441,42.515441,-85.836096,-85.838096,"Allegan","MI","United States","801","Allegan Ave"
"709","Allegan, Michigan",-85.894873,42.539295,"locality","rooftop","Allegan, Michigan",42.540295,42.538295,-85.893873,-85.895873,"Allegan","MI","United States",NA,NA
"710","Bay, Michigan",-83.94184,43.72137,"null","approximate","Bay, Michigan",43.9138450623,43.47889328,-83.7377929688,-84.2072219849,NA,NA,"USA",NA,NA
"711","Benzie, Michigan",-86.30063,44.64459,"null","approximate","Benzie, Michigan",44.8061676025,44.5011253357,-85.7972106934,-86.4130020142,NA,NA,"USA",NA,NA
"712","Berrien, Michigan",-83.944401,42.823978,"street_address","rooftop","Berrien, Michigan",42.824978,42.822978,-83.943401,-83.945401,"Byron","MI","United States","101","Byron Rd"
"713","Calhoun, Michigan",-85.00559,42.24653,"null","approximate","Calhoun, Michigan",42.4293785095,42.0656051636,-84.6825332642,-85.3028106689,NA,NA,"USA",NA,NA
"714","Cass, Michigan",-88.092405,45.793265,"street_address","rooftop","Cass, Michigan",45.794265,45.792265,-88.091405,-88.093405,"Kingsford","MI","United States","201","Case St"
"715","Chippewa, Michigan",-84.52936,46.32818,"null","approximate","Chippewa, Michigan",46.7784347534,45.9139595032,-83.4851074219,-85.2890930176,NA,NA,"USA",NA,NA
"716","Clinton, Michigan",-82.91672,42.551185,"locality","rooftop","Clinton, Michigan",42.552185,42.550185,-82.91572,-82.91772,"Clinton","MI","United States",NA,NA
"717","Delta, Michigan",-86.8706,45.79162,"null","approximate","Delta, Michigan",46.1468315125,45.5700721741,-86.473815918,-87.3107299805,NA,NA,"USA",NA,NA
"718","Eaton, Michigan",-86.205505,43.048775,"street_address","rooftop","Eaton, Michigan",43.049775,43.047775,-86.204505,-86.206505,"Grand Haven","MI","United States","1501","Eaton Dr"
"719","Emmet, Michigan",-82.760409,42.994325,"street_address","rooftop","Emmet, Michigan",42.995325,42.993325,-82.759409,-82.761409,"Emmett","MI","United States","3201","Emmett Rd"
"720","Genesee, Michigan",-83.61773,43.11253,"locality","rooftop","Genesee, Michigan",43.11353,43.11153,-83.61673,-83.61873,"Genesee","MI","United States",NA,NA
"721","Hillsdale, Michigan",-84.63051,41.92005,"locality","rooftop","Hillsdale, Michigan",41.92105,41.91905,-84.62951,-84.63151,"Hillsdale","MI","United States",NA,NA
"722","Ingham, Michigan",-84.37354,42.5971,"null","approximate","Ingham, Michigan",42.84375,42.4089775085,-84.1314086914,-84.6742477417,NA,NA,"USA",NA,NA
"723","Ionia, Michigan",-85.090548,42.973427,"locality","rooftop","Ionia, Michigan",42.974427,42.972427,-85.089548,-85.091548,"Ionia","MI","United States",NA,NA
"724","Iosco, Michigan",-84.08616,42.55481,"null","approximate","Iosco, Michigan",NA,NA,NA,NA,NA,NA,"USA",NA,NA
"725","Isabella, Michigan",-86.6057,45.897472,"locality","rooftop","Isabella, Michigan",45.898472,45.896472,-86.6047,-86.6067,"Rapid River","MI","United States",NA,NA
"726","Jackson, Michigan",-84.40135,42.24587,"locality","approximate","Jackson, Michigan",42.2903327942,42.1898651123,-84.3369979858,-84.4798202515,"Jackson, MI, US",NA,"USA",NA,NA
"727","Kalamazoo, Michigan",-85.561545,42.264543,"locality","rooftop","Kalamazoo, Michigan",42.265543,42.263543,-85.560545,-85.562545,"Kalamazoo","MI","United States",NA,NA
"728","Kent, Michigan",-82.99611,43.942679,"street_address","rooftop","Kent, Michigan",43.943679,43.941679,-82.99511,-82.99711,"Kinde","MI","United States","5001","Kinde St"
"729","Lenawee, Michigan",-84.06636,41.89508,"null","approximate","Lenawee, Michigan",42.1086959839,41.6952514648,-83.7340621948,-84.3819503784,NA,NA,"USA",NA,NA
"730","Livingston, Michigan",-83.91153,42.60292,"null","approximate","Livingston, Michigan",42.7919273376,42.3858718872,-83.6580200195,-84.1445465088,NA,NA,"USA",NA,NA
"731","Macomb, Michigan",-82.91016,42.67279,"null","approximate","Macomb, Michigan",42.9009513855,42.4202880859,-82.6995849609,-83.1263580322,NA,NA,"USA",NA,NA
"732","Manistee, Michigan",-86.182473,44.263534,"locality","rooftop","Manistee, Michigan",44.264534,44.262534,-86.181473,-86.183473,"Manistee","MI","United States",NA,NA
"733","Mecosta, Michigan",-85.22642,43.62031,"locality","rooftop","Mecosta, Michigan",43.62131,43.61931,-85.22542,-85.22742,"Mecosta","MI","United States",NA,NA
"734","Menominee, Michigan",-87.56772,45.228959,"locality","rooftop","Menominee, Michigan",45.229959,45.227959,-87.56672,-87.56872,"Menominee","MI","United States",NA,NA
"735","Monroe, Michigan",-83.472457,41.907196,"locality","rooftop","Monroe, Michigan",41.908196,41.906196,-83.471457,-83.473457,"Monroe","MI","United States",NA,NA
"736","Montcalm, Michigan",-83.140264,42.613126,"street_address","rooftop","Montcalm, Michigan",42.614126,42.612126,-83.139264,-83.141264,"Troy","MI","United States","6453","Montclair Dr"
"737","Muskegon, Michigan",-86.254186,43.237691,"locality","rooftop","Muskegon, Michigan",43.238691,43.236691,-86.253186,-86.255186,"Muskegon","MI","United States",NA,NA
"738","Newaygo, Michigan",-85.73898,43.444927,"locality","rooftop","Newaygo, Michigan",43.445927,43.443927,-85.73798,-85.73998,"Newaygo","MI","United States",NA,NA
"739","Oakland, Michigan",-83.157643,42.766093,"locality","rooftop","Oakland, Michigan",42.767093,42.765093,-83.156643,-83.158643,"Oakland","MI","United States",NA,NA
"740","Ogemaw, Michigan",-84.30798,44.29075,"null","approximate","Ogemaw, Michigan",NA,NA,NA,NA,NA,NA,"USA",NA,NA
"741","Osceola, Michigan",-88.453729,47.231315,"locality","rooftop","Osceola, Michigan",47.232315,47.230315,-88.452729,-88.454729,"Calumet","MI","United States",NA,NA
"742","Oscoda, Michigan",-83.550866,44.422917,"locality","rooftop","Oscoda, Michigan",44.423917,44.421917,-83.549866,-83.551866,"Oscoda","MI","United States",NA,NA
"743","Otsego, Michigan",-85.724612,42.486075,"locality","rooftop","Otsego, Michigan",42.487075,42.485075,-85.723612,-85.725612,"Otsego","MI","United States",NA,NA
"744","Ottawa, Michigan",-86.42188,42.94853,"null","approximate","Ottawa, Michigan",43.1898460388,42.7006034851,-85.7693634033,-86.3635253906,NA,NA,"USA",NA,NA
"745","Roscommon, Michigan",-84.611194,44.394517,"locality","rooftop","Roscommon, Michigan",44.395517,44.393517,-84.610194,-84.612194,"Roscommon","MI","United States",NA,NA
"746","Saginaw, Michigan",-83.886873,43.41242,"locality","rooftop","Saginaw, Michigan",43.41342,43.41142,-83.885873,-83.887873,"Saginaw","MI","United States",NA,NA
"747","St. Clair, Michigan",-84.767911,43.937677,"street_address","rooftop","St. Clair, Michigan",43.938677,43.936677,-84.766911,-84.768911,"Clare","MI","United States","3182","S Clare Ave"
"748","St. Joseph, Michigan",-85.52774,41.91441,"null","approximate","St. Joseph, Michigan",42.09557724,41.7492218018,-85.294052124,-85.7706069946,NA,NA,"USA",NA,NA
"749","Sanilac, Michigan",-82.64575,43.44331,"null","approximate","Sanilac, Michigan",43.6956787109,43.1685562134,-82.3754882812,-83.1330108643,NA,NA,"USA",NA,NA
"750","Shiawassee, Michigan",-84.14673,42.95373,"null","approximate","Shiawassee, Michigan",43.1205787659,42.7695198059,-83.8842163086,-84.424949646,NA,NA,"USA",NA,NA
"751","Tuscola, Michigan",-83.657355,43.327048,"locality","rooftop","Tuscola, Michigan",43.328048,43.326048,-83.656355,-83.658355,"Tuscola","MI","United States",NA,NA
"752","Van Buren, Michigan",-84.849043,45.59383,"street_address","rooftop","Van Buren, Michigan",45.59483,45.59283,-84.848043,-84.850043,"Levering","MI","United States","3001","Van Rd"
"753","Washtenaw, Michigan",-83.83877,42.25323,"null","approximate","Washtenaw, Michigan",42.4573822021,41.9855422974,-83.4972915649,-84.1405105591,NA,NA,"USA",NA,NA
"754","Wayne, Michigan",-83.38632,42.28143,"locality","rooftop","Wayne, Michigan",42.28243,42.28043,-83.38532,-83.38732,"Wayne","MI","United States",NA,NA
"755","Aitkin, Minnesota",-93.71025,46.53301,"locality","rooftop","Aitkin, Minnesota",46.53401,46.53201,-93.70925,-93.71125,"Aitkin","MN","United States",NA,NA
"756","Anoka, Minnesota",-93.418574,45.282482,"locality","rooftop","Anoka, Minnesota",45.283482,45.281482,-93.417574,-93.419574,"Anoka","MN","United States",NA,NA
"757","Becker, Minnesota",-95.669702,46.72999,"street_address","rooftop","Becker, Minnesota",46.73099,46.72899,-95.668702,-95.670702,"Frazee","MN","United States","34001","Becker"
"758","Beltrami, Minnesota",-96.53034,47.54247,"locality","rooftop","Beltrami, Minnesota",47.54347,47.54147,-96.52934,-96.53134,"Beltrami","MN","United States",NA,NA
"759","Benton, Minnesota",-93.781075,44.776073,"locality","rooftop","Benton, Minnesota",44.777073,44.775073,-93.780075,-93.782075,"Cologne","MN","United States",NA,NA
"760","Blue Earth, Minnesota",-93.977974,43.6503,"locality","rooftop","Blue Earth, Minnesota",43.6513,43.6493,-93.976974,-93.978974,"Blue Earth","MN","United States",NA,NA
"761","Brown, Minnesota",-92.645369,44.028959,"street_address","rooftop","Brown, Minnesota",44.029959,44.027959,-92.644369,-92.646369,"Byron","MN","United States","2","Byron Ave N"
"762","Cass, Minnesota",-94.32535,46.94959,"null","approximate","Cass, Minnesota",47.4370269775,46.2379798889,-93.7868499756,-94.7165222168,NA,NA,"USA",NA,NA
"763","Clay, Minnesota",-92.534442,47.469819,"street_address","rooftop","Clay, Minnesota",47.470819,47.468819,-92.533442,-92.535442,"Eveleth","MN","United States","723","Clay St"
"764","Cook, Minnesota",-92.768568,47.877563,"locality","rooftop","Cook, Minnesota",47.878563,47.876563,-92.767568,-92.769568,"Cook","MN","United States",NA,NA
"765","Crow Wing, Minnesota",-94.699759,47.882566,"street_address","rooftop","Crow Wing, Minnesota",47.883566,47.881566,-94.698759,-94.700759,"Blackduck","MN","United States","11901","Quiring Rd NE"
"766","Faribault, Minnesota",-93.267456,44.36287,"locality","rooftop","Faribault, Minnesota",44.36387,44.36187,-93.266456,-93.268456,"Faribault","MN","United States",NA,NA
"767","Freeborn, Minnesota",-93.56411,43.76579,"locality","rooftop","Freeborn, Minnesota",43.76679,43.76479,-93.56311,-93.56511,"Freeborn","MN","United States",NA,NA
"768","Hennepin, Minnesota",-93.47688,45.00458,"null","approximate","Hennepin, Minnesota",45.2491493225,44.7762832642,-93.0817260742,-93.7881622314,NA,NA,"USA",NA,NA
"769","Lake, Minnesota",-94.16399,47.05011,"null","approximate","Lake, Minnesota",NA,NA,NA,NA,NA,NA,"USA",NA,NA
"770","Mahnomen, Minnesota",-95.939586,47.287889,"locality","rooftop","Mahnomen, Minnesota",47.288889,47.286889,-95.938586,-95.940586,"Mahnomen","MN","United States",NA,NA
"771","Mille Lacs, Minnesota",-93.63009,45.93805,"null","approximate","Mille Lacs, Minnesota",46.2748336792,45.5193367004,-93.4402008057,-93.8095092773,NA,NA,"USA",NA,NA
"772","Olmsted, Minnesota",-92.40177,44.00375,"null","approximate","Olmsted, Minnesota",44.2206001282,43.8374977112,-92.067489624,-92.6787719727,NA,NA,"USA",NA,NA
"773","Otter Tail, Minnesota",-95.564365,46.465546,"locality","rooftop","Otter Tail, Minnesota",46.466546,46.464546,-95.563365,-95.565365,"Otter Tail","MN","United States",NA,NA
"774","Pine, Minnesota",-92.681224,47.07186,"street_address","rooftop","Pine, Minnesota",47.07286,47.07086,-92.680224,-92.682224,"Meadowlands","MN","United States","7701","Pine Rd"
"775","Ramsey, Minnesota",-92.969636,43.709685,"locality","rooftop","Ramsey, Minnesota",43.710685,43.708685,-92.968636,-92.970636,"Austin","MN","United States",NA,NA
"776","St. Louis, Minnesota",-92.46147,47.58986,"null","approximate","St. Louis, Minnesota",48.6060142517,46.6380615234,-91.7149810791,-93.1103973389,NA,NA,"USA",NA,NA
"777","Sherburne, Minnesota",-94.759431,43.667369,"locality","rooftop","Sherburne, Minnesota",43.668369,43.666369,-94.758431,-94.760431,"Sherburn","MN","United States",NA,NA
"778","Stearns, Minnesota",-94.61302,45.55215,"null","approximate","Stearns, Minnesota",45.7976913452,45.3122444153,-94.1324920654,-95.1910400391,NA,NA,"USA",NA,NA
"779","Washington, Minnesota",-92.338779,43.775797,"locality","rooftop","Washington, Minnesota",43.776797,43.774797,-92.337779,-92.339779,"Spring Valley","MN","United States",NA,NA
"780","Winona, Minnesota",-91.700889,44.029975,"locality","rooftop","Winona, Minnesota",44.030975,44.028975,-91.699889,-91.701889,"Winona","MN","United States",NA,NA
"781","Wright, Minnesota",-93.96305,45.17393,"null","approximate","Wright, Minnesota",45.4385452271,44.9571151733,-93.5202560425,-94.2479324341,NA,NA,"USA",NA,NA
"782","Barton, Missouri",-93.368426,37.424602,"street_address","rooftop","Barton, Missouri",37.425602,37.423602,-93.367426,-93.369426,"Brighton","MO","United States","1401","Brighton Ln"
"783","Bates, Missouri",-92.010195,37.340558,"street_address","rooftop","Bates, Missouri",37.341558,37.339558,-92.009195,-92.011195,"Houston","MO","United States","15201","Bates Ln"
"784","Bollinger, Missouri",-90.02595,37.32219,"null","approximate","Bollinger, Missouri",37.5879974365,37.0973587036,-89.8304901123,-90.1614456177,NA,NA,"USA",NA,NA
"785","Boone, Missouri",-93.580339,37.318919,"street_address","rooftop","Boone, Missouri",37.319919,37.317919,-93.579339,-93.581339,"Ash Grove","MO","United States","201","Boone Ln"
"786","Buchanan, Missouri",-94.80616,39.65986,"null","approximate","Buchanan, Missouri",39.8213577271,39.5338363647,-94.6075592041,-95.1178207397,NA,NA,"USA",NA,NA
"787","Butler, Missouri",-94.3491,38.241174,"locality","rooftop","Butler, Missouri",38.242174,38.240174,-94.3481,-94.3501,"Butler","MO","United States",NA,NA
"788","Callaway, Missouri",-90.857261,38.796993,"locality","rooftop","Callaway, Missouri",38.797993,38.795993,-90.856261,-90.858261,"Wentzville","MO","United States",NA,NA
"789","Camden, Missouri",-94.023,39.19723,"locality","rooftop","Camden, Missouri",39.19823,39.19623,-94.022,-94.024,"Camden","MO","United States",NA,NA
"790","Cape Girardeau, Missouri",-89.574605,37.335289,"locality","rooftop","Cape Girardeau, Missouri",37.336289,37.334289,-89.573605,-89.575605,"Cape Girardeau","MO","United States",NA,NA
"791","Cass, Missouri",-91.374308,38.735054,"street_address","rooftop","Cass, Missouri",38.736054,38.734054,-91.373308,-91.375308,"Hermann","MO","United States","32301","Case Rd"
"792","Clay, Missouri",-93.744434,38.370052,"street_address","rooftop","Clay, Missouri",38.371052,38.369052,-93.743434,-93.745434,"Clinton","MO","United States","101","S Gail Dr"
"793","Daviess, Missouri",-90.975299,39.043489,"street_address","rooftop","Daviess, Missouri",39.044489,39.042489,-90.974299,-90.976299,"Troy","MO","United States","2","Davis Rd"
"794","Franklin, Missouri",-92.827618,39.04337,"locality","rooftop","Franklin, Missouri",39.04437,39.04237,-92.826618,-92.828618,"Franklin","MO","United States",NA,NA
"795","Greene, Missouri",-93.570655,36.903996,"street_address","rooftop","Greene, Missouri",36.904996,36.902996,-93.569655,-93.571655,"Crane","MO","United States","201","N Crane St"
"796","Iron, Missouri",-94.479177,40.463028,"street_address","rooftop","Iron, Missouri",40.464028,40.462028,-94.478177,-94.480177,"Grant City","MO","United States","17301","Iron Ave"
"797","Jackson, Missouri",-94.34609,39.0085,"null","approximate","Jackson, Missouri",39.3328018188,38.8210525513,-94.090133667,-94.7674255371,NA,NA,"USA",NA,NA
"798","Jasper, Missouri",-94.30134,37.33616,"locality","rooftop","Jasper, Missouri",37.33716,37.33516,-94.30034,-94.30234,"Jasper","MO","United States",NA,NA
"799","Jefferson, Missouri",-92.171843,38.57749,"street_address","rooftop","Jefferson, Missouri",38.57849,38.57649,-92.170843,-92.172843,"Jefferson City","MO","United States","201","Jefferson St"
"800","Johnson, Missouri",-93.80637,38.74409,"null","approximate","Johnson, Missouri",38.8835487366,38.6337013245,-93.5291824341,-94.1254119873,NA,NA,"USA",NA,NA
"801","Laclede, Missouri",-93.186626,39.772169,"locality","rooftop","Laclede, Missouri",39.773169,39.771169,-93.185626,-93.187626,"Laclede","MO","United States",NA,NA
"802","Lafayette, Missouri",-93.78554,39.06559,"null","approximate","Lafayette, Missouri",39.2314567566,38.9125213623,-93.4663543701,-94.0995941162,NA,NA,"USA",NA,NA
"803","Lawrence, Missouri",-93.83294,37.10635,"null","approximate","Lawrence, Missouri",37.2903327942,36.927696228,-93.5908660889,-94.0484619141,NA,NA,"USA",NA,NA
"804","Lincoln, Missouri",-93.334544,38.395302,"locality","rooftop","Lincoln, Missouri",38.396302,38.394302,-93.333544,-93.335544,"Lincoln","MO","United States",NA,NA
"805","Livingston, Missouri",-93.81077,38.4078,"locality","approximate","Livingston, Missouri",NA,NA,NA,NA,"Livingston, MO, US",NA,"USA",NA,NA
"806","McDonald, Missouri",-93.82445,36.77547,"null","approximate","McDonald, Missouri",NA,NA,NA,NA,NA,NA,"USA",NA,NA
"807","Maries, Missouri",-91.92489,38.16163,"null","approximate","Maries, Missouri",38.294719696,38.021320343,-91.6972579956,-92.0472793579,NA,NA,"USA",NA,NA
"808","Morgan, Missouri",-92.676562,37.510323,"locality","rooftop","Morgan, Missouri",37.511323,37.509323,-92.675562,-92.677562,"Conway","MO","United States",NA,NA
"809","Newton, Missouri",-94.251701,36.919689,"street_address","rooftop","Newton, Missouri",36.920689,36.918689,-94.250701,-94.252701,"Granby","MO","United States","301","Newton St"
"810","Pemiscot, Missouri",-89.72872,36.06304,"null","approximate","Pemiscot, Missouri",NA,NA,NA,NA,NA,NA,"USA",NA,NA
"811","Phelps, Missouri",-93.902433,37.189776,"locality","rooftop","Phelps, Missouri",37.190776,37.188776,-93.901433,-93.903433,"La Russell","MO","United States",NA,NA
"812","Pike, Missouri",-93.55015,34.05383,"null","approximate","Pike, Missouri",NA,NA,NA,NA,NA,NA,"USA",NA,NA
"813","Platte, Missouri",-92.159359,37.574052,"street_address","rooftop","Platte, Missouri",37.575052,37.573052,-92.158359,-92.160359,"Plato","MO","United States","12201","Platte Ln"
"814","Pulaski, Missouri",-90.746786,36.613947,"locality","rooftop","Pulaski, Missouri",36.614947,36.612947,-90.745786,-90.747786,"Doniphan","MO","United States",NA,NA
"815","Ray, Missouri",-94.765796,40.058251,"street_address","rooftop","Ray, Missouri",40.059251,40.057251,-94.764796,-94.766796,"Rea","MO","United States","100","Rea St"
"816","St. Charles, Missouri",-90.48123,38.78394,"locality","approximate","St. Charles, Missouri",38.84009552,38.714012146,-90.4562759399,-90.5924911499,"Saint Charles, MO, US",NA,"USA",NA,NA
"817","St. Francois, Missouri",-92.036832,37.952818,"locality","rooftop","St. Francois, Missouri",37.953818,37.951818,-92.035832,-92.037832,"Dixon","MO","United States",NA,NA
"818","St. Louis, Missouri",-90.44341,38.64068,"null","approximate","St. Louis, Missouri",38.8640365601,38.3924636841,-90.1270294189,-90.7539596558,NA,NA,"USA",NA,NA
"819","Saline, Missouri",-93.728002,40.526949,"locality","rooftop","Saline, Missouri",40.527949,40.525949,-93.727002,-93.729002,"Cainsville","MO","United States",NA,NA
"820","Scott, Missouri",-89.56851,37.05305,"null","approximate","Scott, Missouri",37.2453613281,36.8563079834,-89.3647689819,-89.7752532959,NA,NA,"USA",NA,NA
"821","Texas, Missouri",-91.67674,37.56297,"null","approximate","Texas, Missouri",NA,NA,NA,NA,NA,NA,"USA",NA,NA
"822","Vernon, Missouri",-91.47325,40.3474,"null","approximate","Vernon, Missouri",NA,NA,NA,NA,NA,NA,"USA",NA,NA
"823","St. Louis city, Missouri",-90.44341,38.64068,"null","approximate","St. Louis city, Missouri",38.8640365601,38.3924636841,-90.1270294189,-90.7539596558,NA,NA,"USA",NA,NA
"824","Adams, Mississippi",-90.560654,32.159874,"locality","rooftop","Adams, Mississippi",32.160874,32.158874,-90.559654,-90.561654,"Utica","MS","United States",NA,NA
"825","Alcorn, Mississippi",-88.58026,34.88077,"null","approximate","Alcorn, Mississippi",34.9959030151,34.7608261108,-88.3906707764,-88.6282958984,NA,NA,"USA",NA,NA
"826","Attala, Mississippi",-89.58155,33.08629,"null","approximate","Attala, Mississippi",33.1158332825,32.9401512146,-89.5197753906,-89.8389587402,NA,NA,"USA",NA,NA
"827","Benton, Mississippi",-90.241776,32.845368,"locality","rooftop","Benton, Mississippi",32.846368,32.844368,-90.240776,-90.242776,"Benton","MS","United States",NA,NA
"828","Bolivar, Mississippi",-91.053164,33.659834,"locality","rooftop","Bolivar, Mississippi",33.660834,33.658834,-91.052164,-91.054164,"Benoit","MS","United States",NA,NA
"829","Chickasaw, Mississippi",-88.94786,33.9208,"null","approximate","Chickasaw, Mississippi",34.0678749084,33.7564926147,-88.7091064453,-89.0211410522,NA,NA,"USA",NA,NA
"830","Claiborne, Mississippi",-90.91181,31.97369,"null","approximate","Claiborne, Mississippi",32.1426429749,31.8361492157,-90.7440643311,-91.2026596069,NA,NA,"USA",NA,NA
"831","Coahoma, Mississippi",-90.52316,34.36677,"locality","rooftop","Coahoma, Mississippi",34.36777,34.36577,-90.52216,-90.52416,"Coahoma","MS","United States",NA,NA
"832","Copiah, Mississippi",-90.4488,31.86924,"null","approximate","Copiah, Mississippi",32.046497345,31.674238205,-90.1382446289,-90.7123947144,NA,NA,"USA",NA,NA
"833","DeSoto, Mississippi",-88.713376,31.973763,"locality","rooftop","DeSoto, Mississippi",31.974763,31.972763,-88.712376,-88.714376,"Shubuta","MS","United States",NA,NA
"834","Forrest, Mississippi",-89.858277,33.079868,"street_address","rooftop","Forrest, Mississippi",33.080868,33.078868,-89.857277,-89.859277,"Durant","MS","United States","2","Forrest St"
"835","Hancock, Mississippi",-89.47456,30.39378,"null","approximate","Hancock, Mississippi",30.6322002411,30.200925827,-89.3097915649,-89.6843566895,NA,NA,"USA",NA,NA
"836","Harrison, Mississippi",-89.08164,30.41605,"null","approximate","Harrison, Mississippi",30.690284729,30.2076778412,-88.8203430176,-89.3843536377,NA,NA,"USA",NA,NA
